ORDER_KEY,ORDER_DATE,CUSTOMER_KEY,STATUS_CODE,PRIORITY_CODE,CLERK_NAME,SHIP_PRIORITY,ORDER_COUNT,RETURN_COUNT,GROSS_ITEM_SALES_AMOUNT,ITEM_DISCOUNT_AMOUNT,ITEM_TAX_AMOUNT,NET_ITEM_SALES_AMOUNT,NAME,ADDRESS,NATION,REGION,PHONE_NUMBER
5607,1992-01-01,911,F,4-NOT SPECIFIED,Clerk#000000137,0,1,1,27998,0.0,0.0,55996.0,,,,,
20742,1992-01-01,1369,F,4-NOT SPECIFIED,Clerk#000000913,0,1,0,143542,0.0,0.0,287084.0,,,,,
27137,1992-01-01,542,F,2-HIGH,Clerk#000000881,0,1,2,262188,0.0,0.0,524376.0,,,,,
27015,1992-01-01,110,F,5-LOW,Clerk#000000551,0,1,1,29797,0.0,0.0,59594.0,Customer#000000110,mymPfgphaYXNYtk,IRAN,MIDDLE EAST,20-893-536-2069
37543,1992-01-01,1243,F,3-MEDIUM,Clerk#000000054,0,1,2,171394,0.0,0.0,342788.0,,,,,
45697,1992-01-01,1096,F,4-NOT SPECIFIED,Clerk#000000293,0,1,3,391764,0.0,0.0,783528.0,,,,,
23010,1992-01-01,913,F,2-HIGH,Clerk#000000831,0,1,3,116499,0.0,0.0,232998.0,,,,,
59718,1992-01-01,248,F,5-LOW,Clerk#000000897,0,1,1,82116,0.0,0.0,164232.0,Customer#000000248,mgT15r8asLyaED,IRAN,MIDDLE EAST,20-447-727-8914
3271,1992-01-01,331,F,1-URGENT,Clerk#000000421,0,1,1,140174,0.0,0.0,280348.0,Customer#000000331,"Ug e2IBbl,LJuqjNz5XeQV",ETHIOPIA,AFRICA,15-411-430-7917
51648,1992-01-02,1054,F,5-LOW,Clerk#000000565,0,1,5,316564,0.0,0.0,633128.0,,,,,
53988,1992-01-02,589,F,3-MEDIUM,Clerk#000000182,0,1,2,81096,0.0,0.0,162192.0,,,,,
3139,1992-01-02,166,F,3-MEDIUM,Clerk#000000855,0,1,1,59542,0.0,0.0,119084.0,Customer#000000166,15HWGtwoP77EJfd95HxtMSTZUelV8NOKne2,IRAN,MIDDLE EAST,20-320-530-5920
1248,1992-01-02,472,F,1-URGENT,Clerk#000000890,0,1,2,297769,0.0,0.0,595538.0,Customer#000000472,hWgfnsmTAEOx9Mqp87YwztGrgLLqNkjMPh4,JAPAN,ASIA,22-940-478-1933
3712,1992-01-02,640,F,2-HIGH,Clerk#000000032,0,1,2,177881,0.0,0.0,355762.0,,,,,
54214,1992-01-03,874,F,3-MEDIUM,Clerk#000000194,0,1,0,55016,0.0,0.0,110032.0,,,,,
24167,1992-01-03,1036,F,5-LOW,Clerk#000000622,0,1,4,144807,0.0,0.0,289614.0,,,,,
36582,1992-01-03,34,F,1-URGENT,Clerk#000000358,0,1,5,199709,0.0,0.0,399418.0,Customer#000000034,"Q6G9wZ6dnczmtOx509xgE,M2KV",MOROCCO,AFRICA,25-344-968-5422
22693,1992-01-03,218,F,2-HIGH,Clerk#000000108,0,1,4,246944,0.0,0.0,493888.0,Customer#000000218," V1FCIeSseuyNGYfHS Rx0,sc4IsBfReV",EGYPT,MIDDLE EAST,14-480-931-8567
29030,1992-01-03,1153,F,3-MEDIUM,Clerk#000000995,0,1,0,65800,0.0,0.0,131600.0,,,,,
6657,1992-01-03,463,F,4-NOT SPECIFIED,Clerk#000000820,0,1,2,40064,0.0,0.0,80128.0,Customer#000000463,"LV7MN7Tkm2NSo4Q3lwvjxGQyRJjRZRf,M",INDIA,ASIA,18-167-214-5805
46085,1992-01-03,83,F,4-NOT SPECIFIED,Clerk#000000237,0,1,2,142216,0.0,0.0,284432.0,Customer#000000083,HnhTNB5xpnSF20JBH4Ycs6psVnkC3RDf,RUSSIA,EUROPE,32-817-154-4122
